,CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId
1155,0,126,Reputation,14082,25,4235,0,3320,74,88
1156,0,126,Reputation,14082,5,4235,0,3320,94,88
1157,1,126,Reputation,14082,7,4235,0,3320,99,88
1158,3,126,Reputation,14082,6,4235,0,3320,119,88
1159,0,126,Reputation,14082,7,4235,0,3320,140,88
1160,2,126,Reputation,14082,5,4235,0,3320,143,88
1161,1,126,Reputation,14082,8,4235,0,3320,255,88
1162,0,126,Reputation,14082,14,4235,0,3320,265,88
1163,0,126,Reputation,14082,5,4235,0,3320,275,88
1164,1,126,Reputation,14082,2,4235,0,3320,309,88
1165,4,126,Reputation,14082,1,4235,0,3320,337,88
1166,0,126,Reputation,14082,2,4235,435,3320,341,88
1167,0,126,Reputation,14082,3,4235,0,3320,343,88
1168,2,126,Reputation,14082,3,4235,0,3320,344,88
1169,4,126,Reputation,14082,6,4235,0,3320,358,88
1170,2,126,Reputation,14082,4,4235,0,3320,360,88
1171,0,126,Reputation,14082,3,4235,0,3320,380,88
1172,3,126,Reputation,14082,109,4235,0,3320,424,88
1173,1,126,Reputation,14082,84,4235,0,3320,435,88
1174,3,126,Reputation,14082,6,4235,0,3320,450,88
1175,0,126,Reputation,14082,8,4235,0,3320,462,88
1176,4,126,Reputation,14082,3,4235,0,3320,464,88
1177,2,126,Reputation,14082,14,4235,0,3320,483,88
1178,2,126,Reputation,14082,6,4235,0,3320,494,88
1179,7,126,Reputation,14082,3,4235,0,3320,501,88
1180,0,126,Reputation,14082,5,4235,0,3320,505,88
1181,1,126,Reputation,14082,3,4235,0,3320,518,88
1182,0,126,Reputation,14082,7,4235,466,3320,526,88
1183,0,126,Reputation,14082,8,4235,0,3320,547,88
1184,0,126,Reputation,14082,5,4235,0,3320,559,88
1185,1,126,Reputation,14082,2,4235,0,3320,565,88
1186,2,126,Reputation,14082,0,4235,0,3320,574,88
1187,11,126,Reputation,14082,6,4235,0,3320,579,88
1188,2,126,Reputation,14082,3,4235,247,3320,602,88
1189,1,126,Reputation,14082,1,4235,0,3320,605,88
1190,3,126,Reputation,14082,2,4235,0,3320,615,88
1191,0,126,Reputation,14082,3,4235,0,3320,621,88
1192,0,126,Reputation,14082,22,4235,4341,3320,631,88
1193,4,126,Reputation,14082,1,4235,0,3320,636,88
1194,0,126,Reputation,14082,5,4235,0,3320,654,88
1195,13,126,Reputation,14082,14,4235,0,3320,658,88
