,CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId
201,0,1920,postId,1,0,5007,0.0,0,99290,-1
202,0,1920,postId,1,0,5007,0.0,0,100216,-1
203,0,1920,postId,1,0,5007,0.0,0,102937,-1
204,0,1920,postId,1,0,5007,0.0,0,103049,-1
205,0,1920,postId,1,0,5007,0.0,0,104825,-1
206,0,1920,postId,1,0,5007,0.0,0,107658,-1
207,0,1920,postId,1,0,5007,0.0,0,109441,-1
208,0,1920,postId,1,0,5007,0.0,0,112068,-1
209,0,1920,postId,1,0,5007,0.0,0,112070,-1
210,0,1920,postId,1,0,5007,0.0,0,112517,-1
211,5,5,Score,6792,152,662,29229.0,1145,6,5
212,1,5,Score,6792,20,662,0.0,1145,12,5
216,3,5,Score,6792,22,662,0.0,1145,76,5
219,6,5,Score,6792,28,662,1990.0,1145,103,5
221,2,5,Score,6792,75,662,29261.0,1145,125,5
222,4,5,Score,6792,26,662,0.0,1145,126,5
223,0,5,Score,6792,23,662,0.0,1145,131,5
224,2,5,Score,6792,21,662,0.0,1145,139,5
233,7,5,Score,6792,156,662,64481.0,1145,423,5
234,0,5,Score,6792,40,662,0.0,1145,433,5
263,1,5,Score,6792,18,662,0.0,1145,1648,5
265,1,5,Score,6792,26,662,2762.0,1145,1826,5
266,3,5,Score,6792,17,662,0.0,1145,1828,5
279,0,5,Score,6792,21,662,9878.0,1145,2077,5
282,0,5,Score,6792,22,662,4469.0,1145,2149,5
287,1,5,Score,6792,95,662,0.0,1145,2217,5
289,2,5,Score,6792,24,662,1475.0,1145,2245,5
292,2,5,Score,6792,26,662,0.0,1145,2346,5
295,4,5,Score,6792,16,662,0.0,1145,2456,5
297,3,5,Score,6792,16,662,0.0,1145,2911,5
322,1,5,Score,6792,24,662,0.0,1145,5296,5
324,2,5,Score,6792,17,662,0.0,1145,6241,5
325,3,5,Score,6792,20,662,0.0,1145,6278,5
336,1,0,Score,457,40,47,0.0,114,25770,6
340,2,0,Score,429,21,20,1582.0,56,643,7
341,4,0,Score,429,26,20,0.0,56,2695,7
342,1,25,Score,6764,23,604,1278.0,1089,1,8
343,3,25,Score,6764,16,604,0.0,1089,16,8
344,7,25,Score,6764,41,604,67396.0,1089,36,8
346,4,25,Score,6764,33,604,0.0,1089,78,8
348,1,25,Score,6764,30,604,1220.0,1089,114,8
351,1,25,Score,6764,17,604,1022.0,1089,168,8
352,1,25,Score,6764,56,604,7733.0,1089,170,8
361,1,25,Score,6764,96,604,0.0,1089,432,8
374,3,25,Score,6764,20,604,0.0,1089,1185,8
387,4,25,Score,6764,40,604,0.0,1089,1598,8
411,0,25,Score,6764,18,604,0.0,1089,3138,8
419,0,25,Score,6764,29,604,1068.0,1089,3460,8
422,4,25,Score,6764,30,604,0.0,1089,3555,8
424,2,25,Score,6764,73,604,4526.0,1089,3814,8
467,17,0,Score,136,29,10,5877.0,10,1194,11
211,5,5,ViewCount,6792,152,662,29229.0,1145,6,5
219,6,5,ViewCount,6792,28,662,1990.0,1145,103,5
221,2,5,ViewCount,6792,75,662,29261.0,1145,125,5
233,7,5,ViewCount,6792,156,662,64481.0,1145,423,5
238,1,5,ViewCount,6792,10,662,1005.0,1145,562,5
248,1,5,ViewCount,6792,5,662,725.0,1145,898,5
265,1,5,ViewCount,6792,26,662,2762.0,1145,1826,5
270,0,5,ViewCount,6792,11,662,493.0,1145,1904,5
271,3,5,ViewCount,6792,7,662,455.0,1145,1906,5
273,0,5,ViewCount,6792,5,662,351.0,1145,1908,5
275,7,5,ViewCount,6792,3,662,286.0,1145,1912,5
278,2,5,ViewCount,6792,13,662,520.0,1145,2072,5
