,_id,category_code,city,country,founded_year,geoDescription,latitude,longitude,name,number_of_employees,total_money_raised,number of offices near,money by offices,employee by offices,Rank_employee,Rank_money,Rank_offices,ranking_total
0,5d2737547bf280155f216109,social,Vancouver,CAN,2008,"{'type': 'Point', 'coordinates': [-123.0952381, 49.2851733]}",49.2851733,-123.0952381,HootSuite,370.0,190000000,6,31666666.666666668,78.5,60.5,63.0,32.5,99.7
1,5d2737547bf280155f2160d3,social,Berlin,DEU,2008,"{'type': 'Point', 'coordinates': [13.3842605, 52.5308516]}",52.5308516,13.3842605,ResearchGate,74.0,35000000,7,5000000.0,62.857142857142854,55.5,59.0,40.0,96.5
2,5d2737547bf280155f216128,tech,Vancouver,CAN,2009,"{'type': 'Point', 'coordinates': [-123.109217, 49.2824551]}",49.2824551,-123.109217,Tiny Speck,45.0,17200000,6,2866666.6666666665,78.5,60.5,56.0,32.5,94.1
3,5d2737547bf280155f21609c,education,Berlin,DEU,2007,"{'type': 'Point', 'coordinates': [13.38861, 52.4897]}",52.4897,13.38861,babbel,205.0,10000000,6,1666666.6666666667,72.5,57.5,52.0,32.5,89.1
4,5d2737547bf280155f21611d,tech,Sao Paulo,BRA,2009,"{'type': 'Point', 'coordinates': [-46.6388182, -23.5489433]}",-23.5489433,-46.6388182,Brandsclub,140.0,17000000,2,8500000.0,95.0,63.0,61.0,5.5,88.8
5,5d2737547bf280155f216118,tech,Berlin,DEU,2007,"{'type': 'Point', 'coordinates': [13.398504, 52.4947266]}",52.4947266,13.398504,Moviepilot,43.0,7000000,6,1166666.6666666667,72.5,57.5,47.0,32.5,85.1
6,5d2737547bf280155f2160d9,tech,Copenhagen V,DNK,2007,"{'type': 'Point', 'coordinates': [12.5605372, 55.6739617]}",55.6739617,12.5605372,Trustpilot,100.0,18400000,2,9200000.0,54.0,53.0,62.0,5.5,83.60000000000001
7,5d2737547bf280155f2160bc,tech,Budapest,HUN,2009,"{'type': 'Point', 'coordinates': [19.059078, 47.490346]}",47.490346,19.059078,Prezi,110.0,14300000,2,7150000.0,56.0,54.0,60.0,5.5,82.60000000000001
8,5d2737547bf280155f2160ac,enterprise,Toronto,CAN,2008,"{'type': 'Point', 'coordinates': [-79.406775, 43.64308]}",43.64308,-79.406775,ScribbleLive,45.0,12000000,5,2400000.0,28.0,45.5,55.0,23.5,80.7
9,5d2737547bf280155f2160bb,tech,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.1020894, 51.5212481]}",51.5212481,-0.1020894,Videoplaza,70.0,15900000,18,883333.3333333334,25.11111111111111,38.0,42.0,59.5,80.2
10,5d2737547bf280155f2160aa,social,Buenos Aires,ARG,2007,"{'type': 'Point', 'coordinates': [-58.417309, -34.611781]}",-34.611781,-58.417309,Sonico,84.0,6000000,2,3000000.0,44.0,52.0,57.0,5.5,79.0
11,5d2737547bf280155f2160d8,tech,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.1815999, 51.5499708]}",51.5499708,-0.1815999,Movirtu,50.0,5500000,4,1375000.0,40.5,51.0,49.0,19.5,77.6
