,_id,name,category_code,number_of_employees,founded_year,total_money_raised,geoDescription,latitude,longitude,city,country,number of offices near,money by offices,employee by offices,Rank_employee,Rank_money,Rank_offices,ranking_total
0,5dd655028accc5aeaf32f7f6,Groupon,tech,10000.0,2008,114999999999,"{'type': 'Point', 'coordinates': [-87.643622, 41.8965162]}",41.8965162,-87.643622,Chicago,USA,9,12777777777.666666,1126.6666666666667,322.5,328.0,151.0,516.3000000000001
1,5dd655028accc5aeaf32f6fb,Zynga,tech,115.0,2007,860000000,"{'type': 'Point', 'coordinates': [-122.404234, 37.765158]}",37.765158,-122.404234,San Francisco,USA,81,10617283.950617284,52.148148148148145,221.0,315.0,322.0,513.4000000000001
2,5dd655028accc5aeaf32f6d3,Ooyala,tech,300.0,2007,122000000,"{'type': 'Point', 'coordinates': [-122.084171, 37.386665]}",37.386665,-122.084171,Mountain View,USA,18,6777777.777777778,54.05555555555556,278.5,304.0,215.0,496.3
3,5dd655028accc5aeaf32f8dd,Sunrun,tech,180.0,2007,337000000,"{'type': 'Point', 'coordinates': [-122.4041075, 37.7871306]}",37.7871306,-122.4041075,San Francisco,USA,80,4212500.0,52.575,251.0,285.0,292.0,495.40000000000003
4,5dd655028accc5aeaf32f8b6,HootSuite,social,370.0,2008,190000000,"{'type': 'Point', 'coordinates': [-123.0952381, 49.2851733]}",49.2851733,-123.0952381,Vancouver,CAN,6,31666666.666666668,78.5,307.5,324.0,128.0,494.9
5,5dd655028accc5aeaf32f72d,eSolar,tech,140.0,2007,192000000,"{'type': 'Point', 'coordinates': [-118.153136, 34.146436]}",34.146436,-118.153136,Pasadena,USA,4,48000000.0,128.25,317.5,326.0,88.5,486.7
6,5dd655028accc5aeaf32f71e,ShareThis,social,80.0,2007,82900000,"{'type': 'Point', 'coordinates': [-122.0872274, 37.4203945]}",37.4203945,-122.0872274,Palo Alto,USA,17,4876470.588235294,56.588235294117645,288.5,289.0,205.5,486.5
7,5dd655028accc5aeaf32f6c9,Dropbox,tech,350.0,2007,257000000,"{'type': 'Point', 'coordinates': [-122.4084994, 37.7909427]}",37.7909427,-122.4084994,San Francisco,USA,80,3212500.0,52.575,251.0,272.0,292.0,485.00000000000006
8,5dd655028accc5aeaf32f6dc,OpenX,tech,305.0,2008,75500000,"{'type': 'Point', 'coordinates': [-118.1327468, 34.1494713]}",34.1494713,-118.1327468,Pasadena,USA,4,18875000.0,128.25,317.5,322.0,88.5,483.5
9,5dd655028accc5aeaf32f783,Zendesk,tech,400.0,2007,85500000,"{'type': 'Point', 'coordinates': [12.568116, 55.676294]}",55.676294,12.568116,San Francisco,USA,3,28500000.0,169.33333333333334,320.5,323.0,64.5,476.50000000000006
10,5dd655028accc5aeaf32f84a,Klout,social,79.0,2008,40000000,"{'type': 'Point', 'coordinates': [-118.2474287, 34.0497638]}",34.0497638,-118.2474287,San Francisco,USA,5,8000000.0,89.4,311.5,307.0,106.5,475.1
11,5dd655028accc5aeaf32f6ce,Ustream,tech,250.0,2007,60100000,"{'type': 'Point', 'coordinates': [-122.07948, 37.392936]}",37.392936,-122.07948,San Francisco,USA,18,3338888.888888889,54.05555555555556,278.5,274.0,215.0,472.3
12,5dd655028accc5aeaf32f725,Perfect Market,tech,60.0,2007,30600000,"{'type': 'Point', 'coordinates': [-118.153136, 34.146436]}",34.146436,-118.153136,Pasadena,USA,4,7650000.0,128.25,317.5,306.0,88.5,470.7
13,5dd655028accc5aeaf32f7fd,ResearchGate,social,74.0,2008,35000000,"{'type': 'Point', 'coordinates': [13.3842605, 52.5308516]}",52.5308516,13.3842605,Berlin,DEU,7,5000000.0,62.857142857142854,299.5,291.0,141.0,468.9
14,5dd655028accc5aeaf32f720,Magento,tech,275.0,2010,22500000,"{'type': 'Point', 'coordinates': [-118.243425, 34.052187]}",34.052187,-118.243425,Los Angeles,USA,5,4500000.0,89.4,311.5,287.0,106.5,459.1
15,5dd655028accc5aeaf32f727,Glassdoor,tech,180.0,2007,91500000,"{'type': 'Point', 'coordinates': [-122.500111, 37.868002]}",37.868002,-122.500111,Sausalito,USA,2,45750000.0,96.0,315.0,325.0,23.5,458.4
16,5dd655028accc5aeaf32f814,Trustpilot,tech,100.0,2007,18400000,"{'type': 'Point', 'coordinates': [12.5605372, 55.6739617]}",55.6739617,12.5605372,Copenhagen V,DNK,3,6133333.333333333,169.33333333333334,320.5,299.0,64.5,457.3
